FBgn0020385,"	0.367366431"
FBgn0020415,"	0.284162505"
FBgn0020445,"	1.147684195"
FBgn0020506,"	0.354802748"
FBgn0020508,"	1.753306218"
FBgn0020521,"	2.000743736"
FBgn0020545,"	15.51115824"
FBgn0020622,"	3.701097272"
FBgn0020633,"	8.556533184"
FBgn0020762,"	0.831185239"
FBgn0020912,"	1.436986612"
FBgn0020930,"	6.71050555"
FBgn0021738,"	0.093372871"
FBgn0021776,"	9.433858029"
FBgn0021800,"	0.237843615"
FBgn0022160,"	4.02022222"
FBgn0022382,"	2.303519864"
FBgn0022700,"	14.44489691"
FBgn0022702,"	0.688179184"
FBgn0022893,"	178.3927434"
FBgn0023001,"	0.053988932"
FBgn0023023,"	0.280597673"
FBgn0023091,"	0.773322588"
FBgn0023095,"	25.43106218"
FBgn0023129,"	13.30238917"
FBgn0023179,"	0.255301585"
FBgn0023214,"	56.13692554"
FBgn0023416,"	0.160713111"
FBgn0023441,"	1.777891958"
FBgn0023479,"	0.234730587"
FBgn0023507,"	3.382343977"
FBgn0023536,"	1.701772706"
FBgn0023541,"	1.177072245"
FBgn0023549,"	1.551203957"
FBgn0024150,"	0.075145463"
FBgn0024179,"	0.126487619"
FBgn0024227,"	15.68572809"
FBgn0024234,"	4.521199642"
FBgn0024244,"	4.837590083"
FBgn0024277,"	5.862679739"
FBgn0024288,"	67.43522727"
FBgn0024289,"	1.20520049"
FBgn0024315,"	11.78082079"
FBgn0024360,"	1.466145469"
FBgn0024361,"	90.08921359"
FBgn0024732,"	3.034312559"
FBgn0024913,"	0.04677858"
FBgn0024920,"	5.541361165"
FBgn0024947,"	30.88190459"
FBgn0024957,"	5.405943734"
FBgn0024963,"	0.034364792"
FBgn0024980,"	2.06077901"
FBgn0024983,"	1.298617872"
FBgn0024987,"	21.79515763"
FBgn0024989,"	0.27805425"
FBgn0024995,"	0.695223323"
FBgn0024997,"	2.096394953"
FBgn0025111,"	5.836881166"
FBgn0025335,"	15.56461783"
FBgn0025454,"	0.358776021"
FBgn0025525,"	0.322525418"
FBgn0025625,"	0.233441502"
FBgn0025628,"	0.737068975"
FBgn0025631,"	5.828199079"
FBgn0025632,"	0.701742526"
FBgn0025641,"	0.182211383"
FBgn0025697,"	0.036503415"
FBgn0025702,"	0.039024012"
FBgn0025709,"	0.422348762"
FBgn0025726,"	0.837808731"
FBgn0025739,"	0.625351417"
FBgn0025815,"	8.413851666"
FBgn0025837,"	0.152156012"
FBgn0025864,"	4.190388102"
FBgn0025866,"	13.93220278"
FBgn0025879,"	12.97872625"
FBgn0026056,"	2.377334682"
FBgn0026084,"	176.9232161"
FBgn0026160,"	3.728517101"
FBgn0026196,"	188.4608427"
FBgn0026263,"	6.572725009"
FBgn0026314,"	0.725096182"
FBgn0026315,"	23.16128974"
FBgn0026361,"	1.223402905"
FBgn0026374,"	0.509573223"
FBgn0026403,"	0.079708868"
FBgn0026404,"	23.04479546"
FBgn0026428,"	0.293043254"
FBgn0026433,"	0.78740433"
FBgn0026563,"	0.045314897"
FBgn0026565,"	0.01468893"
FBgn0026592,"	0.438658924"
FBgn0026593,"	12.81299567"
FBgn0026718,"	4.996223423"
FBgn0026760,"	0.260597425"
FBgn0026787,"	2.546749034"
FBgn0026872,"	9.072153108"
FBgn0026878,"	4.333254587"
FBgn0027070,"	0.184964391"
FBgn0027079,"	8.330771205"
FBgn0027081,"	45.83113721"
FBgn0027094,"	44.53325699"
FBgn0027106,"	0.580654608"
FBgn0027108,"	0.908446413"
FBgn0027287,"	12.05952126"
FBgn0027330,"	1.49219687"
FBgn0027341,"	1.40001348"
FBgn0027343,"	0.196596229"
FBgn0027348,"	1.985656326"
FBgn0027356,"	0.511121003"
FBgn0027498,"	0.257223638"
FBgn0027507,"	1.529564684"
FBgn0027528,"	0.400539869"
FBgn0027550,"	4.607158137"
FBgn0027558,"	1.95274511"
FBgn0027571,"	7.691717893"
FBgn0027580,"	0.424072659"
FBgn0027589,"	0.070478811"
FBgn0027598,"	33.41206439"
FBgn0027608,"	0.180297648"
FBgn0027611,"	0.565771394"
FBgn0027620,"	1.183520893"
FBgn0027783,"	2.962476076"
FBgn0027788,"	0.345949445"
FBgn0027796,"	0.19434138"
FBgn0027836,"	62.9684796"
FBgn0027843,"	1.892371251"
FBgn0027889,"	5.727128699"
FBgn0027930,"	4.846333402"
FBgn0027949,"	5.728299784"
FBgn0028331,"	0.775918641"
FBgn0028369,"	1.178770892"
FBgn0028373,"	34.69446489"
FBgn0028380,"	4.73707169"
FBgn0028381,"	98.2660421"
FBgn0028408,"	0.105352567"
FBgn0028425,"	7.073966509"
FBgn0028473,"	552.4073735"
FBgn0028476,"	2.014851904"
FBgn0028481,"	0.00918616"
FBgn0028484,"	7.685548385"
FBgn0028490,"	1.269449392"
FBgn0028491,"	1.413383368"
FBgn0028496,"	0.023387203"
FBgn0028506,"	7.863268744"
FBgn0028516,"	0.102501052"
FBgn0028519,"	0.514785144"
FBgn0028525,"	0.97484365"
FBgn0028532,"	1.031861884"
FBgn0028533,"	1.203951985"
FBgn0028543,"	0.11837136"
FBgn0028562,"	3.032551361"
FBgn0028563,"	8.608989605"
FBgn0028572,"	0.242564567"
FBgn0028658,"	0.201953342"
FBgn0028670,"	11.58638766"
FBgn0028675,"	0.020538239"
FBgn0028740,"	1.274616948"
FBgn0028743,"	6.920579146"
FBgn0028746,"	11.0470179"
FBgn0028855,"	0.11104947"
FBgn0028856,"	0.004891267"
FBgn0028862,"	0.06540729"
FBgn0028875,"	0.060720081"
FBgn0028879,"	0.01148234"
FBgn0028886,"	0.086074041"
FBgn0028888,"	0.019535703"
FBgn0028892,"	0.179332095"
FBgn0028940,"	4.518651856"
FBgn0028946,"	0.058286145"
FBgn0028948,"	0.163104452"
FBgn0028950,"	34.70235963"
FBgn0028955,"	7.836190184"
FBgn0028963,"	0.042668759"
FBgn0028984,"	1.394171518"
FBgn0028988,"	8.293957806"
FBgn0028991,"	0.132091745"
FBgn0028993,"	0.071592766"
FBgn0028996,"	0.023394423"
FBgn0028997,"	0.7611215"
FBgn0028999,"	0.316696349"
FBgn0029082,"	1.438183782"
FBgn0029084,"	0.756767121"
FBgn0029091,"	1.931451539"
FBgn0029092,"	0.629943255"
FBgn0029095,"	0.185991852"
FBgn0029105,"	0.015190382"
FBgn0029114,"	0.814956251"
FBgn0029131,"	5.735051942"
FBgn0029147,"	0.326309088"
FBgn0029167,"	0.004836942"
FBgn0029506,"	297.4979914"
FBgn0029508,"	0.320509328"
FBgn0029584,"	0.874303952"
FBgn0029608,"	3.048983953"
FBgn0029710,"	0.047145071"
FBgn0029720,"	0.045661877"
FBgn0029725,"	0.178537127"
FBgn0029745,"	0.072940228"
FBgn0029755,"	14.69662788"
FBgn0029761,"	0.099235504"
FBgn0029762,"	1.73685851"
FBgn0029769,"	0.204380659"
FBgn0029783,"	0.595838467"
FBgn0029795,"	0.039964223"
FBgn0029799,"	1.349069931"
FBgn0029823,"	26.17301669"
FBgn0029826,"	17.92452759"
FBgn0029827,"	5.396180269"
FBgn0029828,"	0.781406373"
FBgn0029830,"	16.21907248"
FBgn0029831,"	0.142376395"
FBgn0029834,"	0.106341279"
FBgn0029835,"	0.694540113"
FBgn0029838,"	1.13271284"
FBgn0029843,"	0.984115923"
FBgn0029909,"	0.718981953"
FBgn0029911,"	1.537111429"
FBgn0029915,"	74.42864123"
FBgn0029932,"	0.783568233"
FBgn0029937,"	34.88475381"
FBgn0029939,"	0.201453262"
FBgn0029944,"	6.623801873"
FBgn0029994,"	3.648524402"
FBgn0030011,"	0.34657592"
FBgn0030028,"	2.474651928"
FBgn0030040,"	79.21608542"
FBgn0030048,"	7.239331963"
FBgn0030054,"	1.663777839"
FBgn0030065,"	0.026859567"
FBgn0030077,"	1.100913543"
FBgn0030078,"	1.211551958"
FBgn0030080,"	0.102461014"
FBgn0030090,"	0.38482231"
FBgn0030098,"	0.870393506"
FBgn0030108,"	1.094346631"
FBgn0030122,"	1.143605742"
FBgn0030141,"	2.418041251"
FBgn0030148,"	0.174498695"
FBgn0030196,"	9.3230232"
FBgn0030230,"	0.404424219"
FBgn0030234,"	1.470842241"
FBgn0030237,"	3.741171769"
FBgn0030241,"	1.433335068"
FBgn0030245,"	6.235348918"
FBgn0030276,"	15.36279692"
FBgn0030300,"	0.548917575"
FBgn0030310,"	1.720518141"
FBgn0030327,"	2.135122458"
FBgn0030332,"	17.98574913"
FBgn0030334,"	0.203148788"
FBgn0030336,"	11.87851874"
FBgn0030345,"	1.428932903"
FBgn0030347,"	4.734901619"
FBgn0030348,"	0.378035591"
FBgn0030349,"	4.060416052"
FBgn0030358,"	0.070934108"
FBgn0030361,"	0.220966297"
FBgn0030362,"	1.286415407"
FBgn0030367,"	0.036391521"
FBgn0030369,"	0.015138835"
FBgn0030396,"	53.63730132"
FBgn0030403,"	7.422506509"
FBgn0030407,"	0.837713051"
FBgn0030425,"	0.001862085"
FBgn0030469,"	2.444824731"
FBgn0030478,"	0.735702439"
FBgn0030482,"	7.174101538"
FBgn0030484,"	2.612356891"
FBgn0030485,"	0.503485462"
FBgn0030500,"	2.773829718"
FBgn0030501,"	4.783413807"
FBgn0030503,"	1.428790128"
FBgn0030509,"	0.023898013"
FBgn0030520,"	31.22439622"
FBgn0030521,"	185.5543802"
FBgn0030522,"	4.643678421"
FBgn0030528,"	1.401445278"
FBgn0030532,"	11.76399009"
FBgn0030536,"	1.658618527"
FBgn0030559,"	0.089673408"
FBgn0030574,"	1.007627229"
FBgn0030575,"	0.029553863"
FBgn0030576,"	0.275799593"
FBgn0030593,"	1.37507981"
FBgn0030612,"	5.497931285"
FBgn0030613,"	0.0307402"
FBgn0030615,"	0.019493863"
FBgn0030628,"	3.055160988"
FBgn0030634,"	0.041568808"
FBgn0030653,"	0.185596851"
FBgn0030668,"	4.948317409"
FBgn0030679,"	37.21749145"
FBgn0030710,"	0.427457072"
FBgn0030716,"	0.110125151"
FBgn0030723,"	0.441641611"
FBgn0030737,"	0.723726008"
FBgn0030739,"	2.19850961"
FBgn0030746,"	0.853316857"
FBgn0030756,"	0.405531259"
FBgn0030758,"	3.879412641"
FBgn0030773,"	0.743033074"
FBgn0030774,"	4.6393518"
FBgn0030775,"	22.55983813"
FBgn0030776,"	32.08241666"
FBgn0030778,"	0.190475693"
FBgn0030796,"	0.008511352"
FBgn0030797,"	0.476720607"
FBgn0030805,"	2.167862066"
FBgn0030813,"	0.51786692"
FBgn0030839,"	0.243788119"
FBgn0030855,"	7.890235782"
FBgn0030864,"	3.097821936"
FBgn0030881,"	0.039687174"
FBgn0030887,"	0.015946329"
FBgn0030897,"	1.16161217"
FBgn0030904,"	6.542184374"
FBgn0030925,"	0.07050947"
FBgn0030928,"	3.501211335"
FBgn0030929,"	15.15028227"
FBgn0030932,"	1.287299203"
FBgn0030933,"	2.660825083"
FBgn0030941,"	0.677928247"
FBgn0030964,"	3.846139902"
FBgn0030968,"	3.187666535"
FBgn0030976,"	0.366495188"
FBgn0030984,"	0.152217151"
FBgn0030994,"	3.102468192"
FBgn0030998,"	0.128782746"
FBgn0031000,"	0.012098826"
FBgn0031001,"	0.021145539"
FBgn0031002,"	0.656470081"
FBgn0031004,"	12.26805984"
FBgn0031005,"	0.069968024"
FBgn0031016,"	12.05649431"
FBgn0031031,"	0.316258726"
FBgn0031033,"	0.388763215"
FBgn0031034,"	0.150451686"
FBgn0031070,"	1.006139705"
FBgn0031081,"	0.084013731"
FBgn0031091,"	0.336279629"
FBgn0031099,"	4.733953475"
FBgn0031106,"	12.33494038"
FBgn0031114,"	30.58869238"
FBgn0031116,"	0.069743593"
FBgn0031141,"	0.016644273"
FBgn0031143,"	6.969927815"
FBgn0031148,"	5.25193783"
FBgn0031150,"	1.129485594"
FBgn0031163,"	2.408685651"
FBgn0031169,"	0.045336918"
FBgn0031170,"	0.259325511"
FBgn0031182,"	0.518027593"
FBgn0031184,"	1.63163985"
FBgn0031219,"	0.111906444"
FBgn0031220,"	0.013259957"
FBgn0031231,"	11.81765683"
FBgn0031245,"	10.36142295"
FBgn0031248,"	0.047111738"
FBgn0031252,"	1.668558724"
FBgn0031261,"	91.64063832"
FBgn0031285,"	22.05862848"
FBgn0031294,"	1.571113846"
FBgn0031295,"	0.007430071"
FBgn0031306,"	2.924216975"
FBgn0031307,"	27.59212817"
FBgn0031322,"	3.455720083"
FBgn0031343,"	0.008843298"
FBgn0031378,"	2.118005537"
FBgn0031381,"	143.0846962"
FBgn0031405,"	31.13297395"
FBgn0031412,"	5.894244557"
FBgn0031414,"	0.088799028"
FBgn0031428,"	0.616776362"
FBgn0031449,"	2.766278236"
FBgn0031451,"	0.042142242"
FBgn0031461,"	1.333156513"
FBgn0031463,"	0.08937601"
FBgn0031488,"	3.986852201"
FBgn0031490,"	0.485990875"
FBgn0031515,"	0.546643033"
FBgn0031523,"	0.029818885"
FBgn0031530,"	0.265135546"
FBgn0031533,"	0.013599806"
FBgn0031542,"	0.949161226"
FBgn0031547,"	0.100867701"
FBgn0031549,"	0.73693897"
FBgn0031564,"	0.733858954"
FBgn0031571,"	0.073446443"
FBgn0031574,"	0.362679256"
FBgn0031575,"	0.984236513"
FBgn0031579,"	265.994585"
FBgn0031598,"	1.671117045"
FBgn0031602,"	0.087079887"
FBgn0031603,"	6.507576754"
FBgn0031627,"	0.02578931"
FBgn0031630,"	0.223605095"
FBgn0031636,"	0.387513026"
FBgn0031649,"	0.026023"
FBgn0031652,"	1.751165735"
FBgn0031682,"	0.973981913"
FBgn0031689,"	5.270966301"
FBgn0031693,"	1.327562532"
FBgn0031694,"	0.486512981"
FBgn0031695,"	1.209738489"
FBgn0031702,"	0.008557036"
FBgn0031703,"	0.460149449"
FBgn0031717,"	1.059930591"
FBgn0031732,"	0.382997789"
FBgn0031741,"	0.081894878"
FBgn0031745,"	16.84944871"
FBgn0031746,"	0.674825568"
FBgn0031747,"	76.17774688"
FBgn0031760,"	0.101317666"
FBgn0031770,"	0.486082287"
FBgn0031791,"	2.230678963"
FBgn0031800,"	0.599484816"
FBgn0031801,"	1.023438733"
FBgn0031804,"	0.809423844"
FBgn0031805,"	3.299876166"
FBgn0031811,"	0"
FBgn0031813,"	2.005657682"
FBgn0031816,"	0.489780773"
FBgn0031817,"	0.454594884"
FBgn0031851,"	26.3353179"
FBgn0031853,"	0.129361265"
FBgn0031858,"	0.034544804"
FBgn0031860,"	1.832674776"
FBgn0031861,"	2.2722489"
FBgn0031877,"	2.936460813"
FBgn0031878,"	1.077228161"
FBgn0031886,"	10.93116211"
FBgn0031888,"	22.62406866"
FBgn0031897,"	0.324024657"
FBgn0031902,"	0.017734281"
FBgn0031906,"	0.215975654"
FBgn0031907,"	0.055435164"
FBgn0031910,"	2.445126904"
FBgn0031913,"	26.41835437"
FBgn0031914,"	0.09783872"
FBgn0031929,"	2.171424501"
FBgn0031930,"	1.063906367"
FBgn0031934,"	0.012092456"
FBgn0031936,"	0.013478566"
FBgn0031937,"	0.00633714"
FBgn0031939,"	0.138726524"
FBgn0031945,"	1.059520471"
FBgn0031948,"	1.481094154"
FBgn0031968,"	2.873054632"
FBgn0031969,"	6.038872917"
